Movie_Rating_ID,Rating_Audience_Score,Rating_Rotten_Tomatoes,Movie_ID
1,70,64,1000
2,52,68,1001
3,44,15,1002
4,72,28,1003
5,72,60,1004
6,67,89,1005
7,82,49,1006
8,74,52,1007
9,47,15,1008
10,84,83,1009
11,70,63,1010
12,49,21,1011
13,83,91,1012
14,77,85,1013
15,61,3,1014
16,56,53,1015
17,52,56,1016
18,47,27,1017
19,52,26,1018
20,51,40,1019
21,80,93,1020
22,66,29,1021
23,80,84,1022
24,95,100,1023
25,81,95,1024
26,79,83,1025
27,80,90,1026
28,76,82,1027
29,85,100,1028
30,81,74,1029
